自动编号,审核情况,提交时间,问题标题,问题描述,问题正文,问题标签,身份,身份-其他-补充内容
Q-20260627-008,拟通过,2026/06/27,物生地的学长学姐们 你们都选择什么专业 目前感觉怎么样 有没有什么建议呀,,,"志愿填报, 学校选择",准大一,
Q-20260627-009,拟通过,2026/06/27,如果没上特控的话，学校和专业优先考虑哪个,,,"志愿填报, 学校选择, 城市选择, 专业选择, 大学生活, 宿舍, 社团, 考研保研, 考公",准大一,
